ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND10007GV07,012384601,---,Super & Short-term Commercial Paper,2023-12-29,---
CND10007GNR8,012384600,Yancheng Municipal State-Owned Assets Investment Group Co.Ltd,Super & Short-term Commercial Paper,2023-12-29,---
CND10007FX89,012384597,"Xuzhou Xinsheng Construction Developing & Investment Co.,Ltd",Super & Short-term Commercial Paper,2023-12-29,---
CND10007H068,012384599,---,Super & Short-term Commercial Paper,2023-12-29,---
CND10007GFW4,012384598,Jingjiang Port Group Limited,Super & Short-term Commercial Paper,2023-12-29,---
---,112374578,武汉众邦银行股份有限公司,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112319404,"EVERGROWING BANK CO., Limited",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112310367,Industrial Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374575,Shengjing Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374577,GUANGDONG HUAXING BANK CO. LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
