ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND10007GV07,012384601,---,Super & Short-term Commercial Paper,2023-12-29,---
CND10007GNR8,012384600,Yancheng Municipal State-Owned Assets Investment Group Co.Ltd,Super & Short-term Commercial Paper,2023-12-29,---
CND10007FX89,012384597,"Xuzhou Xinsheng Construction Developing & Investment Co.,Ltd",Super & Short-term Commercial Paper,2023-12-29,---
CND10007H068,012384599,---,Super & Short-term Commercial Paper,2023-12-29,---
CND10007GFW4,012384598,Jingjiang Port Group Limited,Super & Short-term Commercial Paper,2023-12-29,---
---,112374578,武汉众邦银行股份有限公司,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112319404,"EVERGROWING BANK CO., Limited",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112310367,Industrial Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374575,Shengjing Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374577,GUANGDONG HUAXING BANK CO. LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374576,GUANGDONG HUAXING BANK CO. LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112310368,Industrial Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112310369,Industrial Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112310370,Industrial Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374570,Shanghai Rural Commercial Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374567,Guangdong Nanyue Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112321422,"China Bohai Bank Co., Ltd.",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112321421,"China Bohai Bank Co., Ltd.",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374566,WEIHAI BANK CO.LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374568,WEIHAI BANK CO.LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374569,WEIHAI BANK CO.LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112316170,Bank Of Shanghai,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374563,Tianjin Binhai Rural Commercial Bank Corporation,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374561,"Suining Bank Co.,Ltd",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374565,"WeBank Co.,Ltd.",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374559,Bank of WENZHOU CO. LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112309253,Shanghai Pudong Development Bank,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374556,"Jiangsu Sushang Bank Co., Ltd.",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374557,"Jiangxi Bank Co., Ltd.",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374555,"Bank of Guizhou Co.,Ltd",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374554,"Wenzhou MinShang Bank  CO.,LTD.",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374544,"Jiangsu Sushang Bank Co., Ltd.",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374553,"Jiangsu Jiangnan Rural Commercial Bank Co., LTD",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374547,BANK OF LANGFANG CO. LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374543,"Hang Seng Bank (China) Co.,Ltd.",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374551,"Bank Of Dazhou Co.,Ltd",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374550,"Bank Of Dazhou Co.,Ltd",Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374541,重庆富民银行股份有限公司,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374542,四川新网银行股份有限公司,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,112374552,Bank of SUZHOU CO. LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-29,---
---,2380370,"Guangxi Bei bu Gulf Investment Group Co.,Ltd.",Corporate Bond,2023-12-29,AAA
CND10007H5F0,102383464,"Zhangzhou City Traffic Development Group Co.,Ltd.",Medium Term Note,2023-12-29,AAA
CND10007FZQ6,102383465,"Suqian City Construction Investment (Group) Co.,Ltd",Medium Term Note,2023-12-29,---
CND10007H5G8,102300580,"Zhangzhou City Traffic Development Group Co.,Ltd.",Medium Term Note,2023-12-29,AAA
CND10007FZK9,102383463,"Jingjiang Chengtou Infrastructure Development Co.,Ltd",Medium Term Note,2023-12-29,---
CND10007GPK8,102383462,---,Medium Term Note,2023-12-29,---
CND10007CS71,012384596,"Hangzhou Industrial Investment Group Co.,Ltd.",Super & Short-term Commercial Paper,2023-12-28,---
---,112374540,GUANGDONG HUAXING BANK CO. LTD,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-28,---
---,112308306,China CITIC Bank Corporation Limited,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-28,---
---,112306300,Bank of Communications,Interbank Negotiable Certificates of Deposit(IBNCD),2023-12-28,---
